,Biotin Condition,Class,score
SLX-21561.i712_i502,LO_Control,Biotin BV421 DAPI-A,8.927446816256198
SLX-21561.i712_i503,HI_Infected,Biotin BV421 DAPI-A,9.445175311879977
SLX-21561.i712_i505,LO_Infected,Biotin BV421 DAPI-A,8.660080678964786
SLX-21561.i712_i507,HI_Control,Biotin BV421 DAPI-A,10.332245920613584
SLX-21561.i712_i508,LO_Control,Biotin BV421 DAPI-A,8.672486075822272
SLX-21561.i712_i510,HI_Control,Biotin BV421 DAPI-A,9.784422445377189
SLX-21561.i712_i511,LO_Infected,Biotin BV421 DAPI-A,9.149740749847252
SLX-21561.i714_i502,HI_Control,Biotin BV421 DAPI-A,9.745429247877853
SLX-21561.i714_i503,HI_Infected,Biotin BV421 DAPI-A,9.37143829231851
SLX-21561.i714_i505,LO_Infected,Biotin BV421 DAPI-A,8.28828304520769
SLX-21561.i714_i506,HI_Infected,Biotin BV421 DAPI-A,9.9265202516467
SLX-21561.i714_i507,LO_Control,Biotin BV421 DAPI-A,9.123038043573386
SLX-21561.i714_i508,HI_Control,Biotin BV421 DAPI-A,9.515248225093032
SLX-21561.i714_i510,HI_Control,Biotin BV421 DAPI-A,10.099424333412122
SLX-21561.i714_i511,LO_Infected,Biotin BV421 DAPI-A,8.98632143762602
SLX-21561.i715_i502,HI_Control,Biotin BV421 DAPI-A,9.653101264828043
SLX-21561.i715_i503,HI_Infected,Biotin BV421 DAPI-A,9.48432911729596
SLX-21561.i715_i505,HI_Infected,Biotin BV421 DAPI-A,9.654577374584886
SLX-21561.i715_i506,LO_Infected,Biotin BV421 DAPI-A,8.954673628956414
SLX-21561.i715_i507,HI_Control,Biotin BV421 DAPI-A,9.362889770436468
SLX-21561.i715_i508,HI_Control,Biotin BV421 DAPI-A,9.819127203918054
SLX-21561.i715_i510,HI_Control,Biotin BV421 DAPI-A,9.772353284511327
SLX-21561.i715_i511,LO_Infected,Biotin BV421 DAPI-A,9.040500592684284
SLX-21561.i716_i510,HI_Control,Biotin BV421 DAPI-A,10.87523191259525
SLX-21561.i716_i513,HI_Infected,Biotin BV421 DAPI-A,10.082762807393678
SLX-21561.i716_i515,HI_Infected,Biotin BV421 DAPI-A,10.220886181775843
SLX-21561.i716_i516,HI_Infected,Biotin BV421 DAPI-A,9.21453157659465
SLX-21561.i716_i517,HI_Infected,Biotin BV421 DAPI-A,9.828332878935367
SLX-21561.i716_i518,HI_Infected,Biotin BV421 DAPI-A,9.182557990963732
SLX-21561.i718_i505,HI_Infected,Biotin BV421 DAPI-A,9.254070134837509
SLX-21561.i718_i506,HI_Control,Biotin BV421 DAPI-A,10.257238224957614
SLX-21561.i718_i510,HI_Control,Biotin BV421 DAPI-A,9.640237896224932
SLX-21561.i718_i513,LO_Infected,Biotin BV421 DAPI-A,8.48590890137647
SLX-21561.i718_i515,LO_Infected,Biotin BV421 DAPI-A,8.643825842349603
SLX-21561.i718_i516,LO_Infected,Biotin BV421 DAPI-A,8.705331133531631
SLX-21561.i718_i517,LO_Infected,Biotin BV421 DAPI-A,8.977651407818442
SLX-21561.i718_i518,HI_Infected,Biotin BV421 DAPI-A,9.482426456803408
SLX-21561.i719_i513,HI_Infected,Biotin BV421 DAPI-A,9.268892258925797
SLX-21561.i719_i515,LO_Infected,Biotin BV421 DAPI-A,8.10711747075039
SLX-21561.i719_i516,HI_Infected,Biotin BV421 DAPI-A,9.719684899460376
SLX-21561.i719_i517,LO_Infected,Biotin BV421 DAPI-A,8.502688505213357
SLX-21561.i719_i518,HI_Infected,Biotin BV421 DAPI-A,9.467769401256943
SLX-21561.i720_i506,HI_Control,Biotin BV421 DAPI-A,9.574288799881414
SLX-21561.i720_i513,HI_Infected,Biotin BV421 DAPI-A,9.89515291574607
SLX-21561.i720_i515,HI_Infected,Biotin BV421 DAPI-A,9.863498544319764
SLX-21561.i720_i516,HI_Infected,Biotin BV421 DAPI-A,9.595806833577658
SLX-21561.i720_i517,LO_Infected,Biotin BV421 DAPI-A,8.926384681265215
SLX-21561.i721_i513,HI_Infected,Biotin BV421 DAPI-A,9.824281994355154
SLX-21561.i721_i515,HI_Infected,Biotin BV421 DAPI-A,9.219795530746937
SLX-21561.i721_i516,LO_Infected,Biotin BV421 DAPI-A,8.850374303939237
SLX-21561.i721_i517,LO_Infected,Biotin BV421 DAPI-A,8.832149906002899
SLX-21561.i721_i520,HI_Control,Biotin BV421 DAPI-A,9.41987169587053
SLX-21561.i722_i510,HI_Control,Biotin BV421 DAPI-A,10.423530565351728
SLX-21561.i722_i513,HI_Infected,Biotin BV421 DAPI-A,10.451493347426403
SLX-21561.i722_i515,HI_Infected,Biotin BV421 DAPI-A,10.112004656988175
SLX-21561.i722_i516,LO_Infected,Biotin BV421 DAPI-A,8.266678443305896
SLX-21561.i722_i517,LO_Infected,Biotin BV421 DAPI-A,8.213923595622743
SLX-21561.i722_i518,LO_Infected,Biotin BV421 DAPI-A,8.690810307580046
SLX-21561.i722_i520,HI_Control,Biotin BV421 DAPI-A,9.5227394469648
SLX-21561.i723_i505,LO_Infected,Biotin BV421 DAPI-A,8.896724917497897
SLX-21561.i723_i508,HI_Control,Biotin BV421 DAPI-A,10.116136224757685
SLX-21561.i723_i515,LO_Infected,Biotin BV421 DAPI-A,8.887928819003305
SLX-21561.i723_i516,HI_Infected,Biotin BV421 DAPI-A,9.332646496360152
SLX-21561.i723_i518,HI_Infected,Biotin BV421 DAPI-A,9.782449224159071
SLX-21561.i723_i520,HI_Control,Biotin BV421 DAPI-A,9.434523382865056
SLX-21561.i724_i503,HI_Infected,Biotin BV421 DAPI-A,10.048410069255738
SLX-21561.i724_i508,HI_Control,Biotin BV421 DAPI-A,10.133209419210461
SLX-21561.i724_i511,HI_Infected,Biotin BV421 DAPI-A,10.064798252418377
SLX-21561.i724_i515,HI_Infected,Biotin BV421 DAPI-A,9.353747835270912
SLX-21561.i724_i516,HI_Infected,Biotin BV421 DAPI-A,9.40137386937216
SLX-21561.i724_i517,HI_Infected,Biotin BV421 DAPI-A,9.382022193665792
SLX-21561.i724_i518,LO_Infected,Biotin BV421 DAPI-A,9.103756886573398
SLX-21561.i726_i505,HI_Infected,Biotin BV421 DAPI-A,9.455558477608703
SLX-21561.i726_i513,HI_Infected,Biotin BV421 DAPI-A,9.998024706360116
SLX-21561.i726_i515,HI_Infected,Biotin BV421 DAPI-A,9.326254996572539
SLX-21561.i726_i516,LO_Infected,Biotin BV421 DAPI-A,9.102755161296246
SLX-21561.i726_i517,HI_Infected,Biotin BV421 DAPI-A,9.523836379320944
SLX-21561.i726_i518,HI_Infected,Biotin BV421 DAPI-A,9.57858809226753
SLX-21561.i726_i521,HI_Control,Biotin BV421 DAPI-A,9.50747760319872
SLX-21561.i727_i511,HI_Infected,Biotin BV421 DAPI-A,9.45203086057697
SLX-21561.i727_i513,HI_Infected,Biotin BV421 DAPI-A,9.835422821621998
SLX-21561.i727_i515,LO_Infected,Biotin BV421 DAPI-A,8.909370405197466
SLX-21561.i727_i516,HI_Infected,Biotin BV421 DAPI-A,9.8230364281385
SLX-21561.i727_i517,HI_Infected,Biotin BV421 DAPI-A,9.245031611766112
SLX-21561.i727_i518,HI_Infected,Biotin BV421 DAPI-A,9.373139262281274
SLX-21561.i727_i520,HI_Control,Biotin BV421 DAPI-A,9.945540788767127
SLX-21561.i727_i521,HI_Control,Biotin BV421 DAPI-A,9.788413344690662
SLX-21561.i728_i505,HI_Infected,Biotin BV421 DAPI-A,9.808572294739841
SLX-21561.i728_i506,HI_Control,Biotin BV421 DAPI-A,9.487593248937424
SLX-21561.i728_i508,HI_Control,Biotin BV421 DAPI-A,9.958259788383108
SLX-21561.i728_i513,HI_Infected,Biotin BV421 DAPI-A,9.913140809564267
SLX-21561.i728_i515,HI_Infected,Biotin BV421 DAPI-A,9.806315640783854
SLX-21561.i728_i516,LO_Infected,Biotin BV421 DAPI-A,7.856319571406588
SLX-21561.i728_i517,LO_Infected,Biotin BV421 DAPI-A,8.831419819090131
SLX-21561.i728_i518,HI_Infected,Biotin BV421 DAPI-A,9.264828557260252
SLX-21561.i728_i520,HI_Control,Biotin BV421 DAPI-A,9.711115659888671
SLX-21561.i728_i521,HI_Control,Biotin BV421 DAPI-A,9.426821780416843
SLX-21561.i728_i522,HI_Control,Biotin BV421 DAPI-A,9.258368340986765
SLX-21561.i729_i503,LO_Infected,Biotin BV421 DAPI-A,8.675051276031818
SLX-21561.i729_i506,LO_Control,Biotin BV421 DAPI-A,8.765302488748196
SLX-21561.i729_i508,HI_Control,Biotin BV421 DAPI-A,9.979151456457117
SLX-21561.i729_i511,HI_Infected,Biotin BV421 DAPI-A,9.784197131344804
SLX-21561.i729_i513,HI_Infected,Biotin BV421 DAPI-A,9.775540538205506
